evaluation,model,parameter_value,forget_set_dup,mia_loss,mia_min_k,mia_min_k_plus_plus,mia_zlib
gutenberg_unpopular,hubble-8b-500b_toks-standard-hf,0,Dup = 0 v/s Dup > 0,0.5067551575393849,0.5067584083520881,0.5036032758189547,0.4974020380095024
gutenberg_unpopular,hubble-8b-500b_toks-standard-hf,1,Dup = 0 v/s Dup = 1,0.5223270308123249,0.5222521008403361,0.51653081232493,0.5139266456582633
gutenberg_unpopular,hubble-8b-500b_toks-standard-hf,4,Dup = 0 v/s Dup = 4,0.4864143032212885,0.48644222689075634,0.4930365896358544,0.4803259803921569
gutenberg_unpopular,hubble-8b-500b_toks-standard-hf,16,Dup = 0 v/s Dup = 16,0.49534978991596634,0.4953555672268908,0.4989208683473389,0.47420763305322133
gutenberg_unpopular,hubble-8b-500b_toks-standard-hf,64,Dup = 0 v/s Dup = 64,0.5399694055944055,0.5402124125874126,0.48355856643356643,0.5348269230769231
gutenberg_unpopular,hubble-8b-500b_toks-standard-hf,256,Dup = 0 v/s Dup = 256,0.5448968531468532,0.5449423076923077,0.5434965034965036,0.5438688811188811
mmlu,hubble-1b-500b_toks-perturbed-hf,0,Dup = 0 v/s Dup > 0,0.5573227318170457,0.5572260059985004,0.6054437328167958,0.5478855911022245
mmlu,hubble-1b-500b_toks-perturbed-hf,1,Dup = 0 v/s Dup = 1,0.4994914275717285,0.49965937718684394,0.5218321378586424,0.5015888733379985
mmlu,hubble-1b-500b_toks-perturbed-hf,4,Dup = 0 v/s Dup = 4,0.5239566130160952,0.5237819279216236,0.5557835899230231,0.5205482855143457
mmlu,hubble-1b-500b_toks-perturbed-hf,16,Dup = 0 v/s Dup = 16,0.5747944677871148,0.5745891106442577,0.6812062324929973,0.5562853641456582
mmlu,hubble-1b-500b_toks-perturbed-hf,64,Dup = 0 v/s Dup = 64,0.748034965034965,0.7472281468531469,0.8869571678321678,0.6699449300699301
mmlu,hubble-1b-500b_toks-perturbed-hf,256,Dup = 0 v/s Dup = 256,0.9999982517482517,0.9999982517482517,0.9959178321678321,0.997652097902098
mmlu,hubble-1b-500b_toks-standard-hf,0,Dup = 0 v/s Dup > 0,0.5024976880779805,0.5025764183954011,0.5091511184703823,0.501474943764059
mmlu,hubble-1b-500b_toks-standard-hf,1,Dup = 0 v/s Dup = 1,0.5055747900629811,0.505684744576627,0.5115680545836249,0.5042006648005598
mmlu,hubble-1b-500b_toks-standard-hf,4,Dup = 0 v/s Dup = 4,0.5021683869839049,0.5022368789363191,0.5091433694891532,0.503355143456963
mmlu,hubble-1b-500b_toks-standard-hf,16,Dup = 0 v/s Dup = 16,0.5189775910364146,0.5190642507002801,0.5301411064425772,0.5082293417366947
mmlu,hubble-1b-500b_toks-standard-hf,64,Dup = 0 v/s Dup = 64,0.4586617132867133,0.4585791083916084,0.4752972027972028,0.46510402097902104
mmlu,hubble-1b-500b_toks-standard-hf,256,Dup = 0 v/s Dup = 256,0.4804178321678322,0.4805751748251748,0.4479370629370629,0.4944615384615385
mmlu,hubble-8b-500b_toks-perturbed-hf,0,Dup = 0 v/s Dup > 0,0.6733962446888279,0.6724279867533117,0.7425965696075981,0.6436677705573606
mmlu,hubble-8b-500b_toks-perturbed-hf,1,Dup = 0 v/s Dup = 1,0.5291497550734781,0.5291576277116865,0.5798686144156754,0.5228311756473059
mmlu,hubble-8b-500b_toks-perturbed-hf,4,Dup = 0 v/s Dup = 4,0.6280731280615814,0.6264692092372288,0.730533589923023,0.5932363540937718
mmlu,hubble-8b-500b_toks-perturbed-hf,16,Dup = 0 v/s Dup = 16,0.8566279761904763,0.8544007352941176,0.9431031162464987,0.7753844537815126
mmlu,hubble-8b-500b_toks-perturbed-hf,64,Dup = 0 v/s Dup = 64,0.9998409090909091,0.9998304195804195,0.9938907342657343,0.9931267482517483
mmlu,hubble-8b-500b_toks-perturbed-hf,256,Dup = 0 v/s Dup = 256,1.0,1.0,0.9855629370629369,0.9985664335664336
mmlu,hubble-8b-500b_toks-standard-hf,0,Dup = 0 v/s Dup > 0,0.5016308110472382,0.5017593414146464,0.5057443139215196,0.5014228942764308
mmlu,hubble-8b-500b_toks-standard-hf,1,Dup = 0 v/s Dup = 1,0.5061624387683695,0.5064741952414276,0.5101543037088874,0.5052666200139958
mmlu,hubble-8b-500b_toks-standard-hf,4,Dup = 0 v/s Dup = 4,0.5029120888733379,0.5031972533240028,0.5046777466759973,0.5036000699790063
mmlu,hubble-8b-500b_toks-standard-hf,16,Dup = 0 v/s Dup = 16,0.5122601540616246,0.5120192577030812,0.5138263305322128,0.5060976890756304
mmlu,hubble-8b-500b_toks-standard-hf,64,Dup = 0 v/s Dup = 64,0.45881293706293713,0.45807255244755246,0.4965428321678322,0.46301223776223777
mmlu,hubble-8b-500b_toks-standard-hf,256,Dup = 0 v/s Dup = 256,0.4761363636363636,0.47645192307692313,0.45046153846153847,0.494756993006993
passage_wikipedia,hubble-1b-500b_toks-perturbed-hf,0,Dup = 0 v/s Dup > 0,0.579934588855305,0.5798015965279393,0.5719705494846159,0.5784505928853755
passage_wikipedia,hubble-1b-500b_toks-perturbed-hf,1,Dup = 0 v/s Dup = 1,0.5288205998809195,0.5288596568885279,0.4753072918565272,0.5184149451205646
passage_wikipedia,hubble-1b-500b_toks-perturbed-hf,4,Dup = 0 v/s Dup = 4,0.5422240969585874,0.541883867025644,0.5336194042157266,0.5417606204683022
passage_wikipedia,hubble-1b-500b_toks-perturbed-hf,16,Dup = 0 v/s Dup = 16,0.6103138764031273,0.610338210602063,0.6468777484608619,0.61999193495121
passage_wikipedia,hubble-1b-500b_toks-perturbed-hf,64,Dup = 0 v/s Dup = 64,0.7478503571180917,0.7472956105679218,0.8463178697732474,0.7579311420844601
passage_wikipedia,hubble-1b-500b_toks-perturbed-hf,256,Dup = 0 v/s Dup = 256,0.9796824076000277,0.9799597808751127,0.998093058733791,0.9783128770542958
passage_wikipedia,hubble-1b-500b_toks-standard-hf,0,Dup = 0 v/s Dup > 0,0.5161627528481748,0.5161385724250175,0.5050602185538248,0.5156741842982252
passage_wikipedia,hubble-1b-500b_toks-standard-hf,1,Dup = 0 v/s Dup = 1,0.5256856240702262,0.525689095804236,0.4928204540680911,0.5182943023637301
passage_wikipedia,hubble-1b-500b_toks-standard-hf,4,Dup = 0 v/s Dup = 4,0.5111572851734392,0.5109003768567267,0.5116363844667677,0.5087722039088254
passage_wikipedia,hubble-1b-500b_toks-standard-hf,16,Dup = 0 v/s Dup = 16,0.5187616673793111,0.5191510145622799,0.5331814184056928,0.5278730867236087
passage_wikipedia,hubble-1b-500b_toks-standard-hf,64,Dup = 0 v/s Dup = 64,0.49127140974967065,0.4914534359614451,0.4699656750572082,0.5054174467790029
passage_wikipedia,hubble-1b-500b_toks-standard-hf,256,Dup = 0 v/s Dup = 256,0.5078704666805354,0.5074197351085223,0.49157478676929484,0.5181159420289856
passage_wikipedia,hubble-8b-500b_toks-perturbed-hf,0,Dup = 0 v/s Dup > 0,0.6727964039370689,0.6727849337363404,0.7175428970006975,0.6712916376036582
passage_wikipedia,hubble-8b-500b_toks-perturbed-hf,1,Dup = 0 v/s Dup = 1,0.5608655727232803,0.5610001024161533,0.557707162708022,0.556864399277185
passage_wikipedia,hubble-8b-500b_toks-perturbed-hf,4,Dup = 0 v/s Dup = 4,0.620046486518389,0.619784370600662,0.6929737311246162,0.6191351563408618
passage_wikipedia,hubble-8b-500b_toks-perturbed-hf,16,Dup = 0 v/s Dup = 16,0.8074486982941727,0.807653800828058,0.9233733457090116,0.809006087026048
passage_wikipedia,hubble-8b-500b_toks-perturbed-hf,64,Dup = 0 v/s Dup = 64,0.9957700575549546,0.995735385895569,0.9910893835378961,0.9953800013868664
passage_wikipedia,hubble-8b-500b_toks-perturbed-hf,256,Dup = 0 v/s Dup = 256,1.0,1.0,0.9856285971846612,1.0
passage_wikipedia,hubble-8b-500b_toks-standard-hf,0,Dup = 0 v/s Dup > 0,0.5122653646438813,0.5125480895915678,0.4975289467565683,0.5108889405564597
passage_wikipedia,hubble-8b-500b_toks-standard-hf,1,Dup = 0 v/s Dup = 1,0.5179558082977914,0.5182717360926674,0.48664250339795967,0.510734601557767
